o,d,volume
地铁2号线蟠祥路,地铁2号线徐泾东,0.0
地铁3号线江杨北路,地铁3号线铁力路,121.0
地铁3号线铁力路,地铁3号线友谊路,485.0
地铁3号线友谊路,地铁3号线宝杨路,957.0
地铁3号线宝杨路,地铁3号线水产路,1180.0
地铁3号线水产路,地铁3号线淞滨路,1317.0
地铁3号线淞滨路,地铁3号线张华浜,1441.0
地铁3号线张华浜,地铁3号线淞发路,1485.0
地铁3号线淞发路,地铁3号线长江南路,1832.0
地铁3号线长江南路,地铁3号线殷高西路,2093.0
地铁3号线殷高西路,地铁3号线江湾镇,1942.0
地铁3号线江湾镇,地铁3号线大柏树,1825.0
地铁3号线大柏树,地铁3号线赤峰路,2555.0
地铁3号线赤峰路,地铁3号线虹口足球场,2540.0
地铁3号线虹口足球场,地铁3号线东宝兴路,3335.0
地铁3号线东宝兴路,地铁3号线宝山路,3620.0
地铁3号线宝山路,地铁3号线上海火车站,5530.0
地铁3号线上海火车站,地铁3号线中潭路,7106.0
地铁3号线中潭路,地铁3号线镇坪路,6767.0
地铁3号线镇坪路,地铁3号线曹杨路,6222.0
地铁3号线曹杨路,地铁3号线金沙江路,3813.0
地铁3号线金沙江路,地铁3号线中山公园,2670.0
地铁3号线中山公园,地铁3号线延安西路,4444.0
地铁3号线延安西路,地铁3号线虹桥路,4834.0
地铁3号线虹桥路,地铁3号线宜山路,5352.0
地铁3号线宜山路,地铁3号线漕溪路,5129.0
地铁3号线漕溪路,地铁3号线龙漕路,5020.0
地铁3号线龙漕路,地铁3号线石龙路,4853.0
地铁3号线石龙路,地铁3号线上海南站,4280.0
地铁3号线上海南站,地铁3号线石龙路,719.0
地铁3号线石龙路,地铁3号线龙漕路,888.0
地铁3号线龙漕路,地铁3号线漕溪路,1718.0
地铁3号线漕溪路,地铁3号线宜山路,2158.0
地铁3号线宜山路,地铁3号线虹桥路,4473.0
地铁3号线虹桥路,地铁3号线延安西路,6283.0
地铁3号线延安西路,地铁3号线中山公园,7958.0
地铁3号线中山公园,地铁3号线金沙江路,11800.0
地铁3号线金沙江路,地铁3号线曹杨路,10827.0
地铁3号线曹杨路,地铁3号线镇坪路,10027.0
地铁3号线镇坪路,地铁3号线中潭路,8337.0
地铁3号线中潭路,地铁3号线上海火车站,7530.0
地铁3号线上海火车站,地铁3号线宝山路,9315.0
地铁3号线宝山路,地铁3号线东宝兴路,10926.0
地铁3号线东宝兴路,地铁3号线虹口足球场,11764.0
地铁3号线虹口足球场,地铁3号线赤峰路,13650.0
地铁3号线赤峰路,地铁3号线大柏树,13299.0
地铁3号线大柏树,地铁3号线江湾镇,12493.0
地铁3号线江湾镇,地铁3号线殷高西路,9978.0
地铁3号线殷高西路,地铁3号线长江南路,7780.0
地铁3号线长江南路,地铁3号线淞发路,6896.0
地铁3号线淞发路,地铁3号线张华浜,6573.0
地铁3号线张华浜,地铁3号线淞滨路,6580.0
地铁3号线淞滨路,地铁3号线水产路,5603.0
地铁3号线水产路,地铁3号线宝杨路,4574.0
地铁3号线宝杨路,地铁3号线友谊路,3848.0
地铁3号线友谊路,地铁3号线铁力路,2690.0
地铁3号线铁力路,地铁3号线江杨北路,2220.0
地铁4号线宜山路,地铁4号线虹桥路,5325.0
地铁4号线虹桥路,地铁4号线延安西路,6170.0
地铁4号线延安西路,地铁4号线中山公园,6172.0
地铁4号线中山公园,地铁4号线金沙江路,8169.0
地铁4号线金沙江路,地铁4号线曹杨路,9141.0
地铁4号线曹杨路,地铁4号线镇坪路,4947.0
地铁4号线镇坪路,地铁4号线中潭路,3400.0
地铁4号线中潭路,地铁4号线上海火车站,3202.0
地铁4号线上海火车站,地铁4号线宝山路,2301.0
地铁4号线宝山路,地铁4号线海伦路,2182.0
地铁4号线海伦路,地铁4号线临平路,2978.0
地铁4号线临平路,地铁4号线大连路,2788.0
地铁4号线大连路,地铁4号线杨树浦路,5235.0
地铁4号线杨树浦路,地铁4号线浦东大道,7133.0
地铁4号线浦东大道,地铁4号线世纪大道,8427.0
地铁4号线世纪大道,地铁4号线浦电路,8542.0
地铁4号线浦电路,地铁4号线蓝村路,7088.0
地铁4号线蓝村路,地铁4号线塘桥,5985.0
地铁4号线塘桥,地铁4号线南浦大桥,5994.0
地铁4号线南浦大桥,地铁4号线西藏南路,6109.0
地铁4号线西藏南路,地铁4号线鲁班路,5596.0
地铁4号线鲁班路,地铁4号线大木桥路,6070.0
地铁4号线大木桥路,地铁4号线东安路,5462.0
地铁4号线东安路,地铁4号线上海体育场,6894.0
地铁4号线上海体育场,地铁4号线上海体育馆,7209.0
地铁4号线宜山路,地铁4号线上海体育馆,4566.0
地铁4号线上海体育馆,地铁4号线上海体育场,3259.0
地铁4号线上海体育场,地铁4号线东安路,3485.0
地铁4号线东安路,地铁4号线大木桥路,3988.0
地铁4号线大木桥路,地铁4号线鲁班路,3575.0
地铁4号线鲁班路,地铁4号线西藏南路,3574.0
地铁4号线西藏南路,地铁4号线南浦大桥,2720.0
地铁4号线南浦大桥,地铁4号线塘桥,2713.0
地铁4号线塘桥,地铁4号线蓝村路,3315.0
地铁4号线蓝村路,地铁4号线浦电路,4410.0
地铁4号线浦电路,地铁4号线世纪大道,10456.0
地铁4号线世纪大道,地铁4号线浦东大道,9674.0
地铁4号线浦东大道,地铁4号线杨树浦路,10251.0
地铁4号线杨树浦路,地铁4号线大连路,11025.0
地铁4号线大连路,地铁4号线临平路,12741.0
地铁4号线临平路,地铁4号线海伦路,12442.0
地铁4号线海伦路,地铁4号线宝山路,13173.0
地铁4号线宝山路,地铁4号线上海火车站,10346.0
地铁4号线上海火车站,地铁4号线中潭路,7844.0
地铁4号线中潭路,地铁4号线镇坪路,6414.0
地铁4号线镇坪路,地铁4号线曹杨路,3985.0
地铁4号线曹杨路,地铁4号线金沙江路,3439.0
地铁4号线金沙江路,地铁4号线中山公园,1334.0
地铁4号线中山公园,地铁4号线延安西路,3085.0
地铁4号线延安西路,地铁4号线虹桥路,3540.0
地铁5号线莘庄,地铁5号线春申路,8913.0
地铁5号线春申路,地铁5号线银都路,8702.0
地铁5号线银都路,地铁5号线颛桥,8823.0
地铁5号线颛桥,地铁5号线北桥,8634.0
地铁5号线北桥,地铁5号线剑川路,7799.0
地铁5号线剑川路,地铁5号线东川路,7509.0
地铁5号线东川路,地铁5号线江川路,5632.0
地铁5号线江川路,地铁5号线西渡,5156.0
地铁5号线西渡,地铁5号线萧塘,2687.0
地铁5号线萧塘,地铁5号线奉浦大道,2085.0
地铁5号线奉浦大道,地铁5号线环城东路,1709.0
地铁5号线环城东路,地铁5号线望园路,784.0
地铁5号线望园路,地铁5号线金海湖,681.0
地铁5号线金海湖,地铁5号线奉贤新城,501.0
地铁5号线奉贤新城,地铁5号线金海湖,307.0
地铁5号线金海湖,地铁5号线望园路,350.0
地铁5号线望园路,地铁5号线环城东路,369.0
地铁5号线环城东路,地铁5号线奉浦大道,468.0
地铁5号线奉浦大道,地铁5号线萧塘,853.0
地铁5号线萧塘,地铁5号线西渡,1099.0
地铁5号线西渡,地铁5号线江川路,1016.0
地铁5号线江川路,地铁5号线东川路,985.0
地铁5号线东川路,地铁5号线剑川路,1851.0
地铁5号线剑川路,地铁5号线北桥,2090.0
地铁5号线北桥,地铁5号线颛桥,2227.0
地铁5号线颛桥,地铁5号线银都路,2426.0
地铁5号线银都路,地铁5号线春申路,2497.0
地铁5号线春申路,地铁5号线莘庄,2158.0
地铁5号线东川路,地铁5号线金平路,1418.0
地铁5号线金平路,地铁5号线华宁路,793.0
地铁5号线华宁路,地铁5号线文井路,359.0
地铁5号线文井路,地铁5号线闵行开发区,320.0
地铁5号线闵行开发区,地铁5号线文井路,362.0
地铁5号线文井路,地铁5号线华宁路,1027.0
地铁5号线华宁路,地铁5号线金平路,1092.0
地铁5号线金平路,地铁5号线东川路,1080.0
地铁6号线港城路,地铁6号线外高桥保税区北,175.0
地铁6号线外高桥保税区北,地铁6号线航津路,436.0
地铁6号线航津路,地铁6号线外高桥保税区南,957.0
地铁6号线外高桥保税区南,地铁6号线洲海路,2218.0
地铁6号线洲海路,地铁6号线五洲大道,2386.0
地铁6号线五洲大道,地铁6号线东靖路,2224.0
地铁6号线东靖路,地铁6号线巨峰路,2032.0
地铁6号线巨峰路,地铁6号线五莲路,2162.0
地铁6号线五莲路,地铁6号线博兴路,1942.0
地铁6号线博兴路,地铁6号线金桥路,1664.0
地铁6号线金桥路,地铁6号线云山路,1716.0
地铁6号线云山路,地铁6号线德平路,1522.0
地铁6号线德平路,地铁6号线北洋泾路,1360.0
地铁6号线北洋泾路,地铁6号线民生路,2669.0
地铁6号线民生路,地铁6号线源深体育中心,2442.0
地铁6号线源深体育中心,地铁6号线世纪大道,3294.0
地铁6号线世纪大道,地铁6号线浦电路,7769.0
地铁6号线浦电路,地铁6号线蓝村路,10665.0
地铁6号线蓝村路,地铁6号线上海儿童医学中心,11524.0
地铁6号线上海儿童医学中心,地铁6号线临沂新村,11172.0
地铁6号线临沂新村,地铁6号线高科西路,10738.0
地铁6号线高科西路,地铁6号线东明路,10333.0
地铁6号线东明路,地铁6号线高青路,7256.0
地铁6号线高青路,地铁6号线华夏西路,4366.0
地铁6号线华夏西路,地铁6号线上南路,3331.0
地铁6号线上南路,地铁6号线灵岩南路,2271.0
地铁6号线灵岩南路,地铁6号线东方体育中心,1273.0
地铁6号线东方体育中心,地铁6号线灵岩南路,3637.0
地铁6号线灵岩南路,地铁6号线上南路,3030.0
地铁6号线上南路,地铁6号线华夏西路,2820.0
地铁6号线华夏西路,地铁6号线高青路,2833.0
地铁6号线高青路,地铁6号线东明路,2691.0
地铁6号线东明路,地铁6号线高科西路,2399.0
地铁6号线高科西路,地铁6号线临沂新村,2451.0
地铁6号线临沂新村,地铁6号线上海儿童医学中心,2731.0
地铁6号线上海儿童医学中心,地铁6号线蓝村路,2862.0
地铁6号线蓝村路,地铁6号线浦电路,3790.0
地铁6号线浦电路,地铁6号线世纪大道,10732.0
地铁6号线世纪大道,地铁6号线源深体育中心,14573.0
地铁6号线源深体育中心,地铁6号线民生路,15131.0
地铁6号线民生路,地铁6号线北洋泾路,13807.0
地铁6号线北洋泾路,地铁6号线德平路,13418.0
地铁6号线德平路,地铁6号线云山路,12080.0
地铁6号线云山路,地铁6号线金桥路,12142.0
地铁6号线金桥路,地铁6号线博兴路,11596.0
地铁6号线博兴路,地铁6号线五莲路,9433.0
地铁6号线五莲路,地铁6号线巨峰路,8073.0
地铁6号线巨峰路,地铁6号线东靖路,6575.0
地铁6号线东靖路,地铁6号线五洲大道,4460.0
地铁6号线五洲大道,地铁6号线洲海路,3226.0
地铁6号线洲海路,地铁6号线外高桥保税区南,2325.0
地铁6号线外高桥保税区南,地铁6号线航津路,2677.0
地铁6号线航津路,地铁6号线外高桥保税区北,1999.0
地铁6号线外高桥保税区北,地铁6号线港城路,1202.0
地铁7号线花木路,地铁7号线龙阳路,1053.0
地铁7号线龙阳路,地铁7号线芳华路,5306.0
地铁7号线芳华路,地铁7号线锦绣路,4730.0
地铁7号线锦绣路,地铁7号线杨高南路,3699.0
地铁7号线杨高南路,地铁7号线高科西路,3059.0
地铁7号线高科西路,地铁7号线云台路,3707.0
地铁7号线云台路,地铁7号线耀华路,3535.0
地铁7号线耀华路,地铁7号线长清路,2861.0
地铁7号线长清路,地铁7号线后滩,2182.0
地铁7号线后滩,地铁7号线龙华中路,2301.0
地铁7号线龙华中路,地铁7号线东安路,6145.0
地铁7号线东安路,地铁7号线肇嘉浜路,6091.0
地铁7号线肇嘉浜路,地铁7号线常熟路,8653.0
地铁7号线常熟路,地铁7号线静安寺,11332.0
地铁7号线静安寺,地铁7号线昌平路,16925.0
地铁7号线昌平路,地铁7号线长寿路,17908.0
地铁7号线长寿路,地铁7号线镇坪路,21609.0
地铁7号线镇坪路,地铁7号线岚皋路,26217.0
地铁7号线岚皋路,地铁7号线新村路,25699.0
地铁7号线新村路,地铁7号线大华三路,23653.0
地铁7号线大华三路,地铁7号线行知路,20546.0
地铁7号线行知路,地铁7号线大场镇,18499.0
地铁7号线大场镇,地铁7号线场中路,18039.0
地铁7号线场中路,地铁7号线上大路,16755.0
地铁7号线上大路,地铁7号线南陈路,16640.0
地铁7号线南陈路,地铁7号线上海大学,15391.0
地铁7号线上海大学,地铁7号线祁华路,14332.0
地铁7号线祁华路,地铁7号线顾村公园,11908.0
地铁7号线顾村公园,地铁7号线刘行,10243.0
地铁7号线刘行,地铁7号线潘广路,7451.0
地铁7号线潘广路,地铁7号线罗南新村,7164.0
地铁7号线罗南新村,地铁7号线美兰湖,4084.0
地铁7号线美兰湖,地铁7号线罗南新村,403.0
地铁7号线罗南新村,地铁7号线潘广路,562.0
地铁7号线潘广路,地铁7号线刘行,555.0
地铁7号线刘行,地铁7号线顾村公园,569.0
地铁7号线顾村公园,地铁7号线祁华路,757.0
地铁7号线祁华路,地铁7号线上海大学,727.0
地铁7号线上海大学,地铁7号线南陈路,725.0
地铁7号线南陈路,地铁7号线上大路,760.0
地铁7号线上大路,地铁7号线场中路,883.0
地铁7号线场中路,地铁7号线大场镇,785.0
地铁7号线大场镇,地铁7号线行知路,896.0
地铁7号线行知路,地铁7号线大华三路,917.0
地铁7号线大华三路,地铁7号线新村路,867.0
地铁7号线新村路,地铁7号线岚皋路,962.0
地铁7号线岚皋路,地铁7号线镇坪路,1044.0
地铁7号线镇坪路,地铁7号线长寿路,1180.0
地铁7号线长寿路,地铁7号线昌平路,1656.0
地铁7号线昌平路,地铁7号线静安寺,2587.0
地铁7号线静安寺,地铁7号线常熟路,5814.0
地铁7号线常熟路,地铁7号线肇嘉浜路,6202.0
地铁7号线肇嘉浜路,地铁7号线东安路,8372.0
地铁7号线东安路,地铁7号线龙华中路,8281.0
地铁7号线龙华中路,地铁7号线后滩,9409.0
地铁7号线后滩,地铁7号线长清路,9531.0
地铁7号线长清路,地铁7号线耀华路,7915.0
地铁7号线耀华路,地铁7号线云台路,6779.0
地铁7号线云台路,地铁7号线高科西路,6079.0
地铁7号线高科西路,地铁7号线杨高南路,5514.0
地铁7号线杨高南路,地铁7号线锦绣路,3850.0
地铁7号线锦绣路,地铁7号线芳华路,2601.0
地铁7号线芳华路,地铁7号线龙阳路,1697.0
地铁7号线龙阳路,地铁7号线花木路,119.0
地铁8号线市光路,地铁8号线嫩江路,429.0
地铁8号线嫩江路,地铁8号线翔殷路,602.0
地铁8号线翔殷路,地铁8号线黄兴公园,811.0
地铁8号线黄兴公园,地铁8号线延吉中路,948.0
地铁8号线延吉中路,地铁8号线黄兴路,1065.0
地铁8号线黄兴路,地铁8号线江浦路,1209.0
地铁8号线江浦路,地铁8号线鞍山新村,1943.0
地铁8号线鞍山新村,地铁8号线四平路,1864.0
地铁8号线四平路,地铁8号线曲阳路,2656.0
地铁8号线曲阳路,地铁8号线虹口足球场,2364.0
地铁8号线虹口足球场,地铁8号线西藏北路,2973.0
地铁8号线西藏北路,地铁8号线中兴路,2878.0
地铁8号线中兴路,地铁8号线曲阜路,3108.0
地铁8号线曲阜路,地铁8号线人民广场,4879.0
地铁8号线人民广场,地铁8号线大世界,10137.0
地铁8号线大世界,地铁8号线老西门,12505.0
地铁8号线老西门,地铁8号线陆家浜路,14629.0
地铁8号线陆家浜路,地铁8号线西藏南路,15449.0
地铁8号线西藏南路,地铁8号线中华艺术宫,16143.0
地铁8号线中华艺术宫,地铁8号线耀华路,16551.0
地铁8号线耀华路,地铁8号线成山路,17779.0
地铁8号线成山路,地铁8号线杨思,18053.0
地铁8号线杨思,地铁8号线东方体育中心,15339.0
地铁8号线东方体育中心,地铁8号线凌兆新村,18577.0
地铁8号线凌兆新村,地铁8号线芦恒路,18065.0
地铁8号线芦恒路,地铁8号线浦江镇,12280.0
地铁8号线浦江镇,地铁8号线江月路,11122.0
地铁8号线江月路,地铁8号线联航路,9188.0
地铁8号线联航路,地铁8号线沈杜公路,5699.0
地铁8号线沈杜公路,地铁8号线联航路,497.0
地铁8号线联航路,地铁8号线江月路,1265.0
地铁8号线江月路,地铁8号线浦江镇,2042.0
地铁8号线浦江镇,地铁8号线芦恒路,2727.0
地铁8号线芦恒路,地铁8号线凌兆新村,2548.0
地铁8号线凌兆新村,地铁8号线东方体育中心,2381.0
地铁8号线东方体育中心,地铁8号线杨思,4359.0
地铁8号线杨思,地铁8号线成山路,3984.0
地铁8号线成山路,地铁8号线耀华路,3767.0
地铁8号线耀华路,地铁8号线中华艺术宫,3038.0
地铁8号线中华艺术宫,地铁8号线西藏南路,3692.0
地铁8号线西藏南路,地铁8号线陆家浜路,5237.0
地铁8号线陆家浜路,地铁8号线老西门,7040.0
地铁8号线老西门,地铁8号线大世界,8662.0
地铁8号线大世界,地铁8号线人民广场,11183.0
地铁8号线人民广场,地铁8号线曲阜路,15596.0
地铁8号线曲阜路,地铁8号线中兴路,16363.0
地铁8号线中兴路,地铁8号线西藏北路,15387.0
地铁8号线西藏北路,地铁8号线虹口足球场,13707.0
地铁8号线虹口足球场,地铁8号线曲阳路,11913.0
地铁8号线曲阳路,地铁8号线四平路,9973.0
地铁8号线四平路,地铁8号线鞍山新村,11229.0
地铁8号线鞍山新村,地铁8号线江浦路,10384.0
地铁8号线江浦路,地铁8号线黄兴路,11559.0
地铁8号线黄兴路,地铁8号线延吉中路,9873.0
地铁8号线延吉中路,地铁8号线黄兴公园,7011.0
地铁8号线黄兴公园,地铁8号线翔殷路,6272.0
地铁8号线翔殷路,地铁8号线嫩江路,5421.0
